Line No.,Order Code,RoHS Compliant?,Notes,Qty,Manufacturer Part Number,Manufacturer / Description,Availability,Unit Price,Line Price,Discount Price
1,9589635,No,,4.0,"LM348D","Bandwidth:1MHz; No. of Amplifiers:4; Slew Rate:0.5V/µs; Supply Voltage Range:± 4V to ± 18V; Amplifier Case Style:SOIC; No. of Pins:14; Operating Temperature Min:0°C; Operating Temperatur",3103,0.5090,2.04,,
2,2329333,YES,,4.0,"3313J-1-204E","Product Range:Trimpot 3313 Series; Track Resistance:200kohm; No. of Turns:1; Power Rating:125mW; Resistance Tolerance:± 20%; Temperature Coefficient:± 100ppm/°C; Potentiometer Moun",784,1.3800,5.52,,
3,1829184,YES,,6.0,"2N7002PW","Transistor Polarity:N Channel; Continuous Drain Current Id:310mA; Drain Source Voltage Vds:60V; On Resistance Rds(on):1ohm; Rds(on) Test Voltage Vgs:10V; Threshold Voltage Vgs:1.75V; Powe",62436,0.1047,0.63,,

,,,,,,,Sub Total,8.18
,,,,,,,Goods Total,8.18
,,,,,,,Basic Delivery,0.00
,,,,,,,VAT,Unknown
,,,,,,,Total,8.18
